retriever,distractor_type,pool_size,tasks,repeats,build_seconds,score_seconds_total,score_seconds_per_query,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,top1_error_rate,mean_fallback_distractors,mean_hard_negative_purity,n,top1_accuracy_std_across_queries,hit@3_std_across_queries,hit@5_std_across_queries,hit@10_std_across_queries,recall@3_std_across_queries,recall@5_std_across_queries,recall@10_std_across_queries,mrr@10_std_across_queries,ndcg@10_std_across_queries
bm25_desc,embedding_semantic_near,100,87,3,0.38579612499961513,0.033377004005160416,0.00038364372419724614,0.5402298850574713,0.7011494252873564,0.7241379310344828,0.8160919540229885,0.4511767925561029,0.4917898193760263,0.5739737274220033,0.6279191753329685,0.5235983545301914,0.45977011494252873,0,1.0,261,0.4983789284753747,0.45775420118942245,0.44694763437295587,0.3874091849736257,0.38229799185447744,0.39265362007211146,0.380345848762161,0.42415639258096627,0.3621329305004083
bm25_desc,query_overlap,100,87,3,0.38579612499961513,0.033377004005160416,0.00038364372419724614,0.4367816091954023,0.6091954022988506,0.6436781609195402,0.6896551724137931,0.37703886152162014,0.4076902025177887,0.46746031746031746,0.5272030651340996,0.4257669832031874,0.5632183908045977,2.045977011494253,0.9789567472757128,261,0.49598733357221647,0.4879306960181868,0.47891187714941746,0.4626347539654737,0.38151282273450143,0.3849146876257085,0.39499050327312196,0.4433975813296253,0.36713861955451277
bm25_desc,random,1000,87,3,0.38579612499961513,0.033377004005160416,0.00038364372419724614,0.7394636015325671,0.8773946360153256,0.9157088122605364,0.9386973180076629,0.6256704980842912,0.6871100164203613,0.752098157270571,0.8174907255367025,0.709610683179488,0.26053639846743293,0,0.0,261,0.4389273100879597,0.32798367140279994,0.27782401517675553,0.23988468724135675,0.353327259607734,0.33309467406770277,0.3136039485655228,0.32540630782021623,0.2972549923175095
bm25_desc,random,full,87,1,0.38579612499961513,0.033377004005160416,0.00038364372419724614,0.42528735632183906,0.5862068965517241,0.6436781609195402,0.6666666666666666,0.3594143404488232,0.3986863711001642,0.4492610837438424,0.513154533844189,0.4107264707058489,0.5747126436781609,0,0.0,87,0.49438650960015096,0.4925123054167483,0.47891187714941746,0.4714045207910317,0.379974955045118,0.3837390820462834,0.40100843611231635,0.4449742332036973,0.36857851678147086
bm25_full_skill,embedding_semantic_near,100,87,3,0.0,6.872820166976453,0.07899793295375233,0.5632183908045977,0.6781609195402298,0.735632183908046,0.8160919540229885,0.43804050355774493,0.5047071702244116,0.6019430760810072,0.6404761904761904,0.5425203816057784,0.4367816091954023,0,1.0,261,0.49598733357221647,0.4671816421356684,0.44099600214369833,0.3874091849736257,0.39457858353323166,0.39517461407020144,0.38822634860697997,0.4265276940572499,0.37029685760748937
bm25_full_skill,query_overlap,100,87,3,0.0,6.872820166976453,0.07899793295375233,0.5057471264367817,0.6551724137931034,0.8045977011494253,0.8850574712643678,0.42712096332785987,0.5602627257799672,0.6750410509031198,0.6200328407224959,0.5517729216399717,0.49425287356321834,2.045977011494253,0.9789567472757128,261,0.4999669694467022,0.47531202593414557,0.39651007610713424,0.31895257300026686,0.3988115630860358,0.3907853366487085,0.35170682534381864,0.40413782045122054,0.3336499568499725
bm25_full_skill,random,1000,87,3,0.0,6.872820166976453,0.07899793295375233,0.789272030651341,0.9233716475095786,0.9616858237547893,0.9808429118773946,0.6901295384054005,0.7800583835066593,0.8471720488961868,0.862712096332786,0.7928974186533584,0.210727969348659,0,0.0,261,0.4078255659995455,0.2660008422637514,0.19195364061111647,0.13707696413791814,0.3241766430512374,0.29090004410989334,0.24987898135033496,0.2769597087121869,0.25737112096459525
bm25_full_skill,random,full,87,1,0.0,6.872820166976453,0.07899793295375233,0.4367816091954023,0.5977011494252874,0.6206896551724138,0.7586206896551724,0.3881226053639847,0.4298850574712644,0.5229064039408867,0.5347929209998176,0.4540716625514959,0.5632183908045977,0,0.0,87,0.49598733357221647,0.4903615863839435,0.48521542343000995,0.42791978089623645,0.40441298175044077,0.41678648032944327,0.40125858264936654,0.4357139886715314,0.3800181629249011
hybrid_bm25_neural,embedding_semantic_near,100,87,3,0.42043845799707924,0.2957377120073943,0.0033992840460620034,0.5402298850574713,0.7241379310344828,0.7701149425287356,0.8160919540229885,0.4793377120963328,0.5589490968801314,0.593240284619595,0.6317186644772852,0.5395355127686093,0.45977011494252873,0,1.0,261,0.4983789284753747,0.44694763437295587,0.4207587406373133,0.3874091849736257,0.38702038089794427,0.3936111696201545,0.3830895636504399,0.4195711954406361,0.36102005647357277
hybrid_bm25_neural,query_overlap,100,87,3,0.42043845799707924,0.2957377120073943,0.0033992840460620034,0.4482758620689655,0.6436781609195402,0.6781609195402298,0.7586206896551724,0.4194581280788177,0.4758073344280241,0.5503284072249589,0.5540366721401204,0.4794382971100607,0.5517241379310345,2.045977011494253,0.9789567472757128,261,0.4973174173053778,0.47891187714941746,0.4671816421356684,0.42791978089623645,0.39637750425062573,0.40210595072196825,0.3997287069050205,0.4292706755457767,0.365535036573097
