task,pool_size,actual_pool_size,repeat,gold_count,top1_accuracy,recall@3,recall@5,recall@10,mrr,ndcg@10
suricata-custom-exfil,10,10,2,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
syzkaller-ppdev-syzlang,10,10,2,3,1.0,1.0,1.0,1.0,1.0,1.0
taxonomy-tree-merge,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0
threejs-structure-parser,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0
threejs-to-obj,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0
travel-planning,10,10,2,6,1.0,0.5,0.6666666666666666,1.0,1.0,0.9705437052559007
trend-anomaly-causal-inference,10,10,2,4,1.0,0.75,1.0,1.0,1.0,1.0
video-filler-word-remover,10,10,2,3,1.0,1.0,1.0,1.0,1.0,1.0
video-silence-remover,10,10,2,7,1.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.9083745556952365
video-tutorial-indexer,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0
virtualhome-agent-planning,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0
weighted-gdp-calc,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0
xlsx-recover-data,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0
3d-scan-calc,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
adaptive-cruise-control,10,10,3,5,1.0,0.6,1.0,1.0,1.0,1.0
azure-bgp-oscillation-route-leak,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
citation-check,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
civ6-adjacency-optimizer,10,10,3,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
court-form-filling,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
crystallographic-wyckoff-position-analysis,10,10,3,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
dapt-intrusion-detection,10,10,3,2,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
data-to-d3,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
dialogue-parser,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
dynamic-object-aware-egomotion,10,10,3,4,1.0,0.75,1.0,1.0,1.0,1.0
earthquake-phase-association,10,10,3,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
earthquake-plate-calculation,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
econ-detrending-correlation,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
energy-ac-optimal-power-flow,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0
energy-market-pricing,10,10,3,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
enterprise-information-search,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
exceltable-in-ppt,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0
exoplanet-detection-period,10,10,3,5,1.0,0.6,0.8,0.8,1.0,0.8687949224876582
financial-modeling-qa,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0
find-topk-similiar-chemicals,10,10,3,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
fix-build-agentops,10,10,3,4,1.0,0.5,0.75,0.75,1.0,0.8048099750039491
fix-build-google-auto,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0
fix-druid-loophole-cve,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0
fix-erlang-ssh-cve,10,10,3,6,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256
fix-visual-stability,10,10,3,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
flink-query,10,10,3,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
flood-risk-analysis,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gh-repo-analytics,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
glm-lake-mendota,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gravitational-wave-detection,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0
grid-dispatch-operator,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0
hvac-control,10,10,3,5,1.0,0.6,0.6,0.6,1.0,0.7227265726449519
invoice-fraud-detection,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0
jax-computing-basics,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0
