task,pool_size,actual_pool_size,repeat,gold_count,top1_accuracy,recall@3,recall@5,recall@10,mrr,ndcg@10
court-form-filling,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
crystallographic-wyckoff-position-analysis,50,50,4,2,0.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292
dapt-intrusion-detection,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
data-to-d3,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
dialogue-parser,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
dynamic-object-aware-egomotion,50,50,4,4,1.0,0.75,1.0,1.0,1.0,0.9828920819566879
earthquake-phase-association,50,50,4,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
earthquake-plate-calculation,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
econ-detrending-correlation,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
energy-ac-optimal-power-flow,50,50,4,3,1.0,1.0,1.0,1.0,1.0,1.0
energy-market-pricing,50,50,4,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
enterprise-information-search,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
exceltable-in-ppt,50,50,4,2,1.0,0.5,0.5,1.0,1.0,0.8315546295836225
exoplanet-detection-period,50,50,4,5,1.0,0.6,0.8,0.8,1.0,0.8687949224876582
financial-modeling-qa,50,50,4,2,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
find-topk-similiar-chemicals,50,50,4,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
fix-build-agentops,50,50,4,4,1.0,0.5,0.75,0.75,1.0,0.7365896932159578
fix-build-google-auto,50,50,4,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745
fix-druid-loophole-cve,50,50,4,2,0.0,0.5,1.0,1.0,0.5,0.6240505200038379
fix-erlang-ssh-cve,50,50,4,6,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256
fix-visual-stability,50,50,4,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347
flink-query,50,50,4,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
flood-risk-analysis,50,50,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gh-repo-analytics,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
glm-lake-mendota,50,50,4,3,1.0,1.0,1.0,1.0,1.0,1.0
gravitational-wave-detection,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
grid-dispatch-operator,50,50,4,3,1.0,1.0,1.0,1.0,1.0,1.0
hvac-control,50,50,4,5,1.0,0.6,0.6,0.6,1.0,0.7227265726449519
invoice-fraud-detection,50,50,4,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693
jax-computing-basics,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
jpg-ocr-stat,50,50,4,5,1.0,0.4,0.4,0.4,1.0,0.5087403079104241
lab-unit-harmonization,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
lake-warming-attribution,50,50,4,4,1.0,0.25,0.75,0.75,1.0,0.7095272044910244
latex-formula-extraction,50,50,4,2,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
lean4-proof,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
manufacturing-codebook-normalization,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
manufacturing-equipment-maintenance,50,50,4,2,0.0,1.0,1.0,1.0,0.5,0.6934264036172708
manufacturing-fjsp-optimization,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
mario-coin-counting,50,50,4,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644
mars-clouds-clustering,50,50,4,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
mhc-layer-impl,50,50,4,3,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9217868789962071
multilingual-video-dubbing,50,50,4,6,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002
offer-letter-generator,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
organize-messy-files,50,50,4,5,1.0,0.4,0.4,0.4,1.0,0.5531464700081437
paper-anonymizer,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
parallel-tfidf-search,50,50,4,3,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8385465274895063
pddl-tpp-planning,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
pdf-excel-diff,50,50,4,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
pedestrian-traffic-counting,50,50,4,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
pg-essay-to-audiobook,50,50,4,4,1.0,0.75,1.0,1.0,1.0,1.0
powerlifting-coef-calc,50,50,4,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
pptx-reference-formatting,50,50,4,1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
protein-expression-analysis,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
python-scala-translation,50,50,4,6,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002
quantum-numerical-simulation,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
r2r-mpc-control,50,50,4,4,1.0,0.25,0.25,0.25,1.0,0.3903800499921017
react-performance-debugging,50,50,4,2,0.0,0.5,0.5,1.0,0.5,0.5802792108518124
reserves-at-risk-calc,50,50,4,1,0.0,0.0,1.0,1.0,0.2,0.38685280723454163
sales-pivot-analysis,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
scheduling-email-assistant,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
sec-financial-report,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
seismic-phase-picking,50,50,4,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
setup-fuzzing-py,50,50,4,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
shock-analysis-demand,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
shock-analysis-supply,50,50,4,1,0.0,0.0,0.0,0.0,0.0,0.0
simpo-code-reproduction,50,50,4,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
software-dependency-audit,50,50,4,3,1.0,1.0,1.0,1.0,1.0,1.0
speaker-diarization-subtitles,50,50,4,4,1.0,0.75,1.0,1.0,1.0,0.9828920819566879
spring-boot-jakarta-migration,50,50,4,5,1.0,0.6,1.0,1.0,1.0,1.0
suricata-custom-exfil,50,50,4,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
syzkaller-ppdev-syzlang,50,50,4,3,1.0,1.0,1.0,1.0,1.0,1.0
taxonomy-tree-merge,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
threejs-structure-parser,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
threejs-to-obj,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
travel-planning,50,50,4,6,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6887841483036673
trend-anomaly-causal-inference,50,50,4,4,1.0,0.75,1.0,1.0,1.0,1.0
video-filler-word-remover,50,50,4,3,1.0,1.0,1.0,1.0,1.0,1.0
video-silence-remover,50,50,4,7,1.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.9083745556952365
video-tutorial-indexer,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
virtualhome-agent-planning,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
weighted-gdp-calc,50,50,4,1,1.0,1.0,1.0,1.0,1.0,1.0
xlsx-recover-data,50,50,4,2,1.0,1.0,1.0,1.0,1.0,1.0
3d-scan-calc,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
adaptive-cruise-control,100,100,0,5,1.0,0.6,0.8,1.0,1.0,0.975788054854922
azure-bgp-oscillation-route-leak,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
citation-check,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
civ6-adjacency-optimizer,100,100,0,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
court-form-filling,100,100,0,1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
crystallographic-wyckoff-position-analysis,100,100,0,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
dapt-intrusion-detection,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
data-to-d3,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dialogue-parser,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dynamic-object-aware-egomotion,100,100,0,4,1.0,0.75,1.0,1.0,1.0,0.9828920819566879
earthquake-phase-association,100,100,0,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
earthquake-plate-calculation,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
econ-detrending-correlation,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
energy-ac-optimal-power-flow,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0
energy-market-pricing,100,100,0,4,1.0,0.5,0.75,0.75,1.0,0.8048099750039491
enterprise-information-search,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
exceltable-in-ppt,100,100,0,2,0.0,0.5,0.5,1.0,0.5,0.5802792108518124
exoplanet-detection-period,100,100,0,5,1.0,0.6,0.8,0.8,1.0,0.8687949224876582
financial-modeling-qa,100,100,0,2,0.0,0.5,0.5,1.0,0.5,0.6052602440527057
find-topk-similiar-chemicals,100,100,0,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
fix-build-agentops,100,100,0,4,1.0,0.25,0.75,0.75,1.0,0.7095272044910244
fix-build-google-auto,100,100,0,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745
fix-druid-loophole-cve,100,100,0,2,0.0,0.5,0.5,1.0,0.3333333333333333,0.5109559939712153
fix-erlang-ssh-cve,100,100,0,6,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256
fix-visual-stability,100,100,0,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6713860725233041
flink-query,100,100,0,2,0.0,0.0,0.5,0.5,0.25,0.2640681225725909
flood-risk-analysis,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gh-repo-analytics,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
glm-lake-mendota,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0
gravitational-wave-detection,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
grid-dispatch-operator,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0
hvac-control,100,100,0,5,1.0,0.6,0.6,0.6,1.0,0.7227265726449519
invoice-fraud-detection,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0
jax-computing-basics,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
jpg-ocr-stat,100,100,0,5,1.0,0.2,0.4,0.4,1.0,0.48522855511632257
lab-unit-harmonization,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
lake-warming-attribution,100,100,0,4,0.0,0.25,0.25,0.75,0.5,0.5085097626218706
latex-formula-extraction,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
lean4-proof,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
manufacturing-codebook-normalization,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
manufacturing-equipment-maintenance,100,100,0,2,0.0,0.5,1.0,1.0,0.5,0.6509209298071326
manufacturing-fjsp-optimization,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
mario-coin-counting,100,100,0,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644
mars-clouds-clustering,100,100,0,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
mhc-layer-impl,100,100,0,3,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9325210919548239
multilingual-video-dubbing,100,100,0,6,1.0,0.5,0.8333333333333334,1.0,1.0,0.9833032486989473
offer-letter-generator,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
organize-messy-files,100,100,0,5,1.0,0.4,0.4,0.4,1.0,0.5531464700081437
paper-anonymizer,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
parallel-tfidf-search,100,100,0,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347
pddl-tpp-planning,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
pdf-excel-diff,100,100,0,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
pedestrian-traffic-counting,100,100,0,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
pg-essay-to-audiobook,100,100,0,4,1.0,0.75,1.0,1.0,1.0,1.0
powerlifting-coef-calc,100,100,0,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
pptx-reference-formatting,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
protein-expression-analysis,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
python-scala-translation,100,100,0,6,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002
quantum-numerical-simulation,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
r2r-mpc-control,100,100,0,4,1.0,0.25,0.25,0.25,1.0,0.3903800499921017
react-performance-debugging,100,100,0,2,1.0,0.5,0.5,1.0,1.0,0.7977228895450266
reserves-at-risk-calc,100,100,0,1,0.0,0.0,0.0,1.0,0.1111111111111111,0.3010299956639812
sales-pivot-analysis,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
scheduling-email-assistant,100,100,0,2,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
sec-financial-report,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
seismic-phase-picking,100,100,0,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
setup-fuzzing-py,100,100,0,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6713860725233041
shock-analysis-demand,100,100,0,1,0.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333
shock-analysis-supply,100,100,0,1,0.0,0.0,0.0,0.0,0.0,0.0
simpo-code-reproduction,100,100,0,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
software-dependency-audit,100,100,0,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693
speaker-diarization-subtitles,100,100,0,4,1.0,0.75,1.0,1.0,1.0,1.0
spring-boot-jakarta-migration,100,100,0,5,1.0,0.4,0.8,1.0,1.0,0.943473299121064
suricata-custom-exfil,100,100,0,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
syzkaller-ppdev-syzlang,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0
taxonomy-tree-merge,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
threejs-structure-parser,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
threejs-to-obj,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
travel-planning,100,100,0,6,1.0,0.5,0.5,1.0,1.0,0.9489415452074046
trend-anomaly-causal-inference,100,100,0,4,1.0,0.75,1.0,1.0,1.0,1.0
video-filler-word-remover,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0
video-silence-remover,100,100,0,7,1.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.0,0.8887517031591263
video-tutorial-indexer,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
virtualhome-agent-planning,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
weighted-gdp-calc,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0
xlsx-recover-data,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0
3d-scan-calc,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
adaptive-cruise-control,100,100,1,5,1.0,0.6,0.8,1.0,1.0,0.9818483242455303
azure-bgp-oscillation-route-leak,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
citation-check,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
civ6-adjacency-optimizer,100,100,1,4,1.0,0.5,0.75,0.75,1.0,0.8048099750039491
court-form-filling,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
crystallographic-wyckoff-position-analysis,100,100,1,2,0.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292
dapt-intrusion-detection,100,100,1,2,1.0,0.5,1.0,1.0,1.0,0.8772153153380493
data-to-d3,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
dialogue-parser,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
dynamic-object-aware-egomotion,100,100,1,4,1.0,0.75,1.0,1.0,1.0,1.0
earthquake-phase-association,100,100,1,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
earthquake-plate-calculation,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
econ-detrending-correlation,100,100,1,1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
energy-ac-optimal-power-flow,100,100,1,3,1.0,1.0,1.0,1.0,1.0,1.0
energy-market-pricing,100,100,1,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
enterprise-information-search,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
exceltable-in-ppt,100,100,1,2,1.0,0.5,1.0,1.0,1.0,0.8503449055347546
exoplanet-detection-period,100,100,1,5,1.0,0.6,0.8,0.8,1.0,0.8687949224876582
financial-modeling-qa,100,100,1,2,1.0,0.5,1.0,1.0,1.0,0.8772153153380493
find-topk-similiar-chemicals,100,100,1,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
fix-build-agentops,100,100,1,4,0.0,0.5,0.5,0.75,0.5,0.5805485932475565
fix-build-google-auto,100,100,1,3,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.9325210919548239
fix-druid-loophole-cve,100,100,1,2,0.0,0.5,0.5,1.0,0.5,0.5912352048230277
fix-erlang-ssh-cve,100,100,1,6,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7409096387260824
fix-visual-stability,100,100,1,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347
flink-query,100,100,1,2,0.0,0.0,0.5,0.5,0.2,0.23719771276929622
flood-risk-analysis,100,100,1,3,1.0,1.0,1.0,1.0,1.0,1.0
gh-repo-analytics,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
glm-lake-mendota,100,100,1,3,1.0,1.0,1.0,1.0,1.0,1.0
gravitational-wave-detection,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
grid-dispatch-operator,100,100,1,3,1.0,1.0,1.0,1.0,1.0,1.0
hvac-control,100,100,1,5,1.0,0.4,0.6,0.6,1.0,0.6548086577531307
invoice-fraud-detection,100,100,1,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9060254355346823
jax-computing-basics,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
jpg-ocr-stat,100,100,1,5,1.0,0.2,0.4,0.4,1.0,0.48522855511632257
lab-unit-harmonization,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
lake-warming-attribution,100,100,1,4,1.0,0.25,0.25,0.5,1.0,0.5032251913410369
latex-formula-extraction,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
lean4-proof,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
manufacturing-codebook-normalization,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
manufacturing-equipment-maintenance,100,100,1,2,0.0,0.5,1.0,1.0,0.3333333333333333,0.5437713091520254
manufacturing-fjsp-optimization,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
mario-coin-counting,100,100,1,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644
mars-clouds-clustering,100,100,1,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
mhc-layer-impl,100,100,1,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745
multilingual-video-dubbing,100,100,1,6,1.0,0.5,0.8333333333333334,1.0,1.0,0.9796825595768973
offer-letter-generator,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
organize-messy-files,100,100,1,5,1.0,0.4,0.4,0.4,1.0,0.5531464700081437
paper-anonymizer,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
parallel-tfidf-search,100,100,1,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693
pddl-tpp-planning,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
pdf-excel-diff,100,100,1,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
pedestrian-traffic-counting,100,100,1,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
pg-essay-to-audiobook,100,100,1,4,1.0,0.75,1.0,1.0,1.0,1.0
powerlifting-coef-calc,100,100,1,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
pptx-reference-formatting,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
protein-expression-analysis,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
python-scala-translation,100,100,1,6,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002
quantum-numerical-simulation,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
r2r-mpc-control,100,100,1,4,1.0,0.25,0.25,0.25,1.0,0.3903800499921017
react-performance-debugging,100,100,1,2,1.0,0.5,0.5,1.0,1.0,0.8315546295836225
reserves-at-risk-calc,100,100,1,1,0.0,0.0,1.0,1.0,0.2,0.38685280723454163
sales-pivot-analysis,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
scheduling-email-assistant,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
sec-financial-report,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
seismic-phase-picking,100,100,1,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
setup-fuzzing-py,100,100,1,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6508205185601091
shock-analysis-demand,100,100,1,1,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
shock-analysis-supply,100,100,1,1,0.0,0.0,0.0,0.0,0.0,0.0
simpo-code-reproduction,100,100,1,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
software-dependency-audit,100,100,1,3,1.0,1.0,1.0,1.0,1.0,1.0
speaker-diarization-subtitles,100,100,1,4,1.0,0.5,1.0,1.0,1.0,0.9047172294870751
spring-boot-jakarta-migration,100,100,1,5,1.0,0.6,0.8,1.0,1.0,0.9896062251871525
suricata-custom-exfil,100,100,1,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347
syzkaller-ppdev-syzlang,100,100,1,3,1.0,1.0,1.0,1.0,1.0,1.0
taxonomy-tree-merge,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
threejs-structure-parser,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
threejs-to-obj,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
travel-planning,100,100,1,6,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5616927747727312
trend-anomaly-causal-inference,100,100,1,4,1.0,0.75,1.0,1.0,1.0,1.0
video-filler-word-remover,100,100,1,3,1.0,1.0,1.0,1.0,1.0,1.0
video-silence-remover,100,100,1,7,1.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.0,0.8936633189697702
video-tutorial-indexer,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
virtualhome-agent-planning,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
weighted-gdp-calc,100,100,1,1,1.0,1.0,1.0,1.0,1.0,1.0
xlsx-recover-data,100,100,1,2,1.0,1.0,1.0,1.0,1.0,1.0
3d-scan-calc,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
adaptive-cruise-control,100,100,2,5,1.0,0.6,0.8,1.0,1.0,0.9896062251871525
azure-bgp-oscillation-route-leak,100,100,2,1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
citation-check,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
civ6-adjacency-optimizer,100,100,2,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
court-form-filling,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
crystallographic-wyckoff-position-analysis,100,100,2,2,0.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292
dapt-intrusion-detection,100,100,2,2,1.0,1.0,1.0,1.0,1.0,1.0
data-to-d3,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
dialogue-parser,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
dynamic-object-aware-egomotion,100,100,2,4,1.0,0.75,1.0,1.0,1.0,1.0
earthquake-phase-association,100,100,2,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
earthquake-plate-calculation,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
econ-detrending-correlation,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
energy-ac-optimal-power-flow,100,100,2,3,1.0,1.0,1.0,1.0,1.0,1.0
energy-market-pricing,100,100,2,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
enterprise-information-search,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
exceltable-in-ppt,100,100,2,2,1.0,0.5,1.0,1.0,1.0,0.8772153153380493
exoplanet-detection-period,100,100,2,5,1.0,0.4,0.8,0.8,1.0,0.830419897363192
financial-modeling-qa,100,100,2,2,1.0,0.5,1.0,1.0,1.0,0.8772153153380493
find-topk-similiar-chemicals,100,100,2,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
fix-build-agentops,100,100,2,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
fix-build-google-auto,100,100,2,3,1.0,1.0,1.0,1.0,1.0,1.0
fix-druid-loophole-cve,100,100,2,2,1.0,0.5,0.5,1.0,1.0,0.8315546295836225
fix-erlang-ssh-cve,100,100,2,6,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7409096387260824
fix-visual-stability,100,100,2,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6508205185601091
flink-query,100,100,2,2,0.0,0.0,0.0,0.5,0.16666666666666666,0.21840743681816419
flood-risk-analysis,100,100,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gh-repo-analytics,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
glm-lake-mendota,100,100,2,3,1.0,1.0,1.0,1.0,1.0,1.0
gravitational-wave-detection,100,100,2,2,1.0,1.0,1.0,1.0,1.0,1.0
grid-dispatch-operator,100,100,2,3,1.0,1.0,1.0,1.0,1.0,1.0
hvac-control,100,100,2,5,1.0,0.6,0.6,0.6,1.0,0.7227265726449519
invoice-fraud-detection,100,100,2,3,1.0,0.6666666666666666,1.0,1.0,1.0,0.9060254355346823
jax-computing-basics,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
jpg-ocr-stat,100,100,2,5,1.0,0.4,0.4,0.4,1.0,0.5087403079104241
lab-unit-harmonization,100,100,2,1,1.0,1.0,1.0,1.0,1.0,1.0
lake-warming-attribution,100,100,2,4,1.0,0.25,0.25,0.75,1.0,0.6469523342593044
