pool_size,tasks,repeats,top1_accuracy,recall@3,recall@5,recall@10,mrr,ndcg@10,n
10,87,5,0.9632183908045977,0.8198686371100165,0.8710454296661194,0.8799671592775041,0.9754789272030651,0.8975544387846104,435
50,87,5,0.9149425287356322,0.7681061850027366,0.8464258347016967,0.8788177339901477,0.9429173508483853,0.8644594768059835,435
100,87,5,0.8896551724137931,0.735807334428024,0.824679802955665,0.8700054734537493,0.9260244480934136,0.8454941383706637,435
500,87,5,0.7632183908045977,0.6498795840175151,0.7240120415982485,0.7898467432950191,0.8357307060755337,0.7460741047773685,435
1000,87,5,0.735632183908046,0.6073672687465791,0.688111658456486,0.7495073891625615,0.8023937237730342,0.7027475082234245,435
5000,87,5,0.6091954022988506,0.4847016967706623,0.5579802955665024,0.6481828133552272,0.6855683269476373,0.5799989531485037,435
10000,87,5,0.5310344827586206,0.4326327312534209,0.48163656267104543,0.5824247400109469,0.6150072979383324,0.5112986997347861,435
full,87,1,0.41379310344827586,0.3594143404488232,0.4009852216748769,0.4492610837438423,0.5074074074074074,0.4058442518172424,87
